game_title ,editorial_rating , user_rating , game_price ,game_price_cents, editor  , type ,device ,
Pro Evolution Soccer 4 sur PC,17,16.3,24,0,Konami,2à8joueurs,PC,
Cuphead sur PC,17,17,17,99,StudioMDHR,Jouableensolo,PC,
Teslagrad sur PC,17,16.3,7,79,RainGames,Plate-Forme,PC,
Return to Castle Wolfenstein sur PC,17,17.3,38,0,idSoftware,+16ans,PC,
Civilization V : Brave New World sur PC,17,16.2,23,99,2KGames,Historique,PC,
Les Sims 2 sur PC,17,17.4,13,97,Maxis,Simulation,PC,
This War of Mine sur PC,17,16,2,0,11bitstudios,Contemporain,PC,
Phantasmagoria sur PC,17,17.5,49,0,Sierra,CD,PC,
Fallout New Vegas sur PC,17,16.7,4,83,Obsidian,Post-apocalyptique,PC,
Mechwarrior 4 : Vengeance sur PC,17,15.2,114,99,Microsoft,Siteofficiel,PC,
World in Conflict sur PC,17,17.7,2,99,MassiveEntertainment,+16ans,PC,
X-com : Terror from the Deep sur PC,17,17.8,4,99,MicroProse,CD,PC,
Oddworld : L'Exode d'Abe sur PC,17,18.5,36,0,GTInteractive,Plate-Forme,PC,
Battle Realms sur PC,17,16.7,59,99,CraveEntertainment,+12ans,PC,
Aliens versus Predator 2 sur PC,17,17.7,45,0,MonolithProductions,Cinéma,PC,
Need for Speed : Hot Pursuit sur PC,17,14.8,29,90,CriterionStudios,Automobile,PC,
Enemy Territory : Quake Wars sur PC,17,16.5,18,0,Activision,+16ans,PC,
Shogun : Total War sur PC,17,16.6,7,99,ElectronicArts,De2à8joueurs,PC,
Orcs Must Die! sur PC,17,17,18,0,RobotEntertainment,Jouableensolo,PC,
NHL 2002 sur PC,17,18.5,14,80,ElectronicArts,+3ans,PC,
S.T.A.L.K.E.R. : Clear Sky sur PC,17,16,21,98,GSCWorldPublishing,+16ans,PC,
Bad Piggies sur PC,17,16.5,9,99,Rovio,Adresse,PC,
Neverwinter Nights sur PC,17,17.1,24,0,BioWare,+12ans,PC,
World of Warcraft : Warlords of Draenor sur PC,17,15.7,24,99,ActivisionBlizzard,MMORPG,PC,
Poker Academy sur PC,17,16,6,0,AnumanInteractive,+12ans,PC,
SimCity 2000 sur PC,17,16.7,24,0,ElectronicArts,Simulation,PC,
Freelancer sur PC,17,16.9,79,50,Microsoft,Simulation,PC,
Final Fantasy XIV : Heavensward sur PC,17,14,12,64,SquareEnix,HeroicFantasy,PC,
Heroes of Might and Magic IV sur PC,17,15.1,20,0,3DO,+7ans,PC,
Baldur's Gate II : Throne of Bhaal sur PC,17,17.8,24,0,BioWare,+12ans,PC,
Titanfall 2 sur PC,17,16.5,16,49,RespawnEntertainment,Science-Fiction,PC,
Homeworld 2 sur PC,17,16.1,28,10,Sierra,+12ans,PC,
NBA Live 2004 sur PC,17,17.9,24,0,ElectronicArts,+3ans,PC,
Hitman sur PC,17,13.7,22,90,SquareEnix,Infiltration,PC,
Medieval II : Total War sur PC,17,17.9,10,97,TheCreativeAssembly,Moyen-Age,PC,
F1 2010 sur PC,17,16.3,2,99,Codemasters,2à12joueurs,PC,
Supreme Commander : Forged Alliance sur PC,17,17.3,26,0,THQ,+12ans,PC,
Drakensang : The River of Time sur PC,17,16.3,6,99,RadonLabs,+16ans,PC,
Dark Age of Camelot : Shrouded Isles sur PC,17,17.6,0,90,MythicEntertainment,+3ans,PC,
Rise of Nations : Rise of Legends sur PC,17,17.1,4,90,Microsoft,+12ans,PC,
Darkstone sur PC,17,17.1,4,99,DelphineSoftwareInternational,+12ans,PC,
Age of Empires sur PC,17,17.7,38,0,Microsoft,CD,PC,
XCOM : Enemy Unknown sur PC,17,16.6,15,99,Firaxis,Tactique,PC,
L.A. Noire : L'Edition Intégrale sur PC,17,15.2,7,30,RockstarLeeds,+18ans,PC,
Flight Simulator 2002 sur PC,17,17.5,25,0,Microsoft,+3ans,PC,
Rune sur PC,17,17.4,4,6,HumanHeadSoftware,+3ans,PC,
Borderlands 2 : Le Capitaine Scarlett et son Butin de Pirate sur PC,17,15.7,8,99,2KGames,Cyberpunk,PC,
Warcraft III : The Frozen Throne sur PC,17,18.3,30,0,VivendiUniversalGames,HeroicFantasy,PC,
Napoléon : Total War sur PC,17,17.2,14,49,Sega,Wargame,PC,
Dark Age of Camelot sur PC,17,16.4,9,82,Wanadoo,+12ans,PC,
Mount & Blade sur PC,17,17.8,8,99,ParadoxInteractive,ActionRPG,PC,
S.T.A.L.K.E.R. : Shadow of Chernobyl sur PC,17,16.9,24,0,GSCGameWorld,+16ans,PC,
The Westerner sur PC,17,13.7,24,0,Revistronic,Point'nClick,PC,
Star Trek : Deep Space Nine : The Fallen sur PC,17,17.8,24,0,TheCollectiveInc.,Jouableensolo,PC,
Driver sur PC,17,17.3,24,0,Reflections,+12ans,PC,
God of War sur PS4,20,17.7,52,99,SonyComputerEntertainment,Beat'emAll,PS4,
Valkyria Chronicles 4 sur PS4,19,18,44,99,Sega,22Mars2018,PS4,
Divinity : Original Sin II - Definitive Edition sur PS4,19,19,53,99,noinformation,noinformation,PS4,
The Witcher 3 : Wild Hunt sur PS4,19,18.1,19,99,CDProjektRED,Fantastique,PS4,
The Last of Us Remastered sur PS4,19,18.4,17,0,NaughtyDog,Survival-Horror,PS4,
Uncharted 4 : A Thief's End sur PS4,19,18.3,16,63,NaughtyDog,+18ans,PS4,
The Walking Dead : Saison 1 sur PS4,19,18.2,25,99,TelltaleGames,Post-apocalyptique,PS4,
Divinity : Original Sin - Enhanced Edition sur PS4,19,15.3,39,0,FocusHomeInteractive,HeroicFantasy,PS4,
Dark Souls III sur PS4,19,17.6,19,99,noinformation,noinformation,PS4,
NieR Automata sur PS4,19,17.5,35,1,SquareEnix,ActionRPG,PS4,
Dishonored : Definitive Edition sur PS4,19,16.2,12,99,noinformation,noinformation,PS4,
The Witcher 3 : Wild Hunt - Blood and Wine sur PS4,19,19.3,154,48,noinformation,noinformation,PS4,
Zero Escape : The Nonary Games sur PS4,19,18.5,28,9,SpikeChunsoft,Jouableensolo,PS4,
Okami HD sur PS4,19,18.7,14,99,noinformation,noinformation,PS4,
Assassin's Creed Odyssey sur PS4,18,16.3,47,33,Ubisoft,ActionRPG,PS4,
Dragon Ball FighterZ sur PS4,18,14.1,47,65,ArcSystemWorks,+12ans,PS4,
Monster Hunter World sur PS4,18,15.9,26,0,Capcom,Jouableensolo,PS4,
Dead Cells sur PS4,18,18.4,29,99,MotionTwin,Plate-Forme,PS4,
Yakuza Kiwami 2 sur PS4,18,17.3,39,99,Sega,07Décembre2017,PS4,
Yakuza 6 : The Song of Life sur PS4,18,15.4,40,29,Sega,17Avril2018,PS4,
Shadow of the Colossus sur PS4,18,14.6,24,82,Sony,Jouableensolo,PS4,
Moss sur PS4,18,19.3,21,0,Polyarc,+12ans,PS4,
Final Fantasy XV : Édition Royale sur PS4,18,10.2,no information,,SquareEnix,+16ans,PS4,
Dragon's Crown Pro sur PS4,18,17.3,29,99,Atlus,+12ans,PS4,
Celeste sur PS4,18,17,no information,,MattMakesGames,Jouableensolo,PS4,
Killzone : Shadow Fall sur PS4,18,15.7,17,0,Guerrilla,Science-Fiction,PS4,
Life is Strange sur PS4,18,17.7,18,49,DONTNODEntertainment,Fantastique,PS4,
Darkest Dungeon sur PS4,18,15.3,19,99,RedHookStudios,+16ans,PS4,
Metal Gear Solid V : The Phantom Pain sur PS4,18,16.5,24,90,KojimaProductions,Infiltration,PS4,
Child of Light sur PS4,18,17.7,170,71,UbisoftMontreal,Fantastique,PS4,
Everybody's Gone to the Rapture sur PS4,18,13,no information,,SCESantaMonicaStudio,11Août2015,PS4,
Watch Dogs sur PS4,18,15.1,15,0,Ubisoft,Enquête,PS4,
Gravity Rush Remastered sur PS4,18,15.7,30,5,Sony,+12ans,PS4,
Nioh sur PS4,18,16.8,24,30,TeamNinja,ActionRPG,PS4,
Tearaway Unfolded sur PS4,18,17.2,11,17,MediaMolecule,Fantastique,PS4,
Grim Fandango Remastered sur PS4,18,15.3,no information,,Sony,Siteofficiel,PS4,
FEZ sur PS4,18,15.3,no information,,PolytronCorporation,Plate-Forme,PS4,
Rise of the Tomb Raider sur PS4,18,16.5,29,99,CrystalDynamics,Contemporain,PS4,
Street Fighter V : Arcade Edition sur PS4,18,10,13,10,Capcom,+12ans,PS4,
Bloodborne sur PS4,18,16.6,15,59,FromSoftware,Fantastique,PS4,
